IAA,System,Difference,Level
0.5535,0.5741,0.0206,3
0.5535,0.6504,0.0969,3
0.5535,0.6649,0.1114,3
0.617,0.63,0.013,4
0.526,0.664,0.138,3
0.69,0.725,0.035,4
0.933,0.978,0.045,5
0.819,0.875,0.056,5
0.779,0.824,0.045,4
0.815,0.87,0.055,5
0.798,0.857,0.059,4
0.773,0.823,0.05,4
0.628,0.702,0.074,4
0.75,0.839,0.089,4
0.75,0.839,0.089,4
0.75,0.845,0.095,4
0.75,0.8644,0.1144,4
0.75,1,0.25,4
0.75,0.845,0.095,4
0.75,0.833,0.083,4
0.728,0.567,-0.161,4
0.728,0.48,-0.248,4
0.87,0.72,-0.15,5
0.87,0.91,0.04,5
0.84,0.45,-0.39,5
0.84,0.45,-0.39,5
0.84,0.42,-0.42,5
0.84,0.42,-0.42,5
0.84,0.6,-0.24,5
0.84,0.63,-0.21,5
0.84,0.61,-0.23,5
0.84,0.65,-0.19,5
0.7504,0.3097,-0.4407,4
0.7504,0.5646,-0.1858,4
0.7504,0.5646,-0.1858,4
0.7504,0.6604,-0.09,4
0.7504,0.7242,-0.0262,4
0.7808,0.3922,-0.3886,4
0.7808,0.6679,-0.1129,4
0.7808,0.6679,-0.1129,4
0.7808,0.5456,-0.2352,4
0.7808,0.684,-0.0968,4
0.5535,0.3835,-0.17,3
0.5535,0.5362,-0.0173,3
0.7448,0.291,-0.4538,4
0.7448,0.6029,-0.1419,4
0.7448,0.6029,-0.1419,4
0.7448,0.6671,-0.0777,4
0.7448,0.73,-0.0148,4
0.7925,0.5563,-0.2362,4
0.7925,0.6413,-0.1512,4
0.7925,0.6413,-0.1512,4
0.7925,0.6347,-0.1578,4
0.7925,0.694,-0.0985,4
0.7373,0.3638,-0.3735,4
0.7373,0.5961,-0.1412,4
0.7373,0.6008,-0.1365,4
0.7373,0.6423,-0.095,4
0.7373,0.7071,-0.0302,4
0.784,0.752,-0.032,4
0.617,0.405,-0.212,4
0.526,0.377,-0.149,3
0.784,0.389,-0.395,4
0.617,0.258,-0.359,4
0.526,0.188,-0.338,3
0.784,0.403,-0.381,4
0.779,0.778,-0.001,4
0.798,0.769,-0.029,4
0.628,0.577,-0.051,4
0.449,0.255,-0.194,3
0.449,0.102,-0.347,3
0.449,0.143,-0.306,3
0.449,0.128,-0.321,3
0.475,0.26,-0.215,3
0.475,0.123,-0.352,3
0.475,0.181,-0.294,3
0.475,0.153,-0.322,3
0.74,0.2994,-0.4406,3
0.74,0.47,-0.27,3
0.74,0.461,-0.279,3
0.74,0.486,-0.254,3
0.74,0.53,-0.21,3
0.74,0.44,-0.3,3
0.74,0.467,-0.273,3
0.74,0.461,-0.279,3
0.86,0.451,-0.409,5
0.86,0.742,-0.118,5
0.86,0.738,-0.122,5
0.86,0.739,-0.121,5
0.86,0.7544,-0.1056,5
0.86,0.72,-0.14,5
0.86,0.748,-0.112,5
0.86,0.738,-0.122,5
0.84,0.1789,-0.6611,5
0.84,0.777,-0.063,5
0.84,0.802,-0.038,5
0.84,0.768,-0.072,5
0.84,0.79,-0.05,5
0.84,0.8,-0.04,5
0.84,0.778,-0.062,5
0.84,0.77,-0.07,5
0.75,0.6437,-0.1063,4
